deployID,tag_Type,prh_Name,lunge_Name,prey_type,latitude,longitude
bw10_235b,DTAG,bw10_235bprh.mat,bw10_235blunges.mat,krill,33.559,-117.886
bw10_238a,DTAG,bw10_238aprh.mat,bw10_238alunges.mat,krill,33.5697,-117.9633
bw10_239b,DTAG,bw10_239bprh.mat,bw10_239blunges.mat,krill,33.5718,-118.0472
bw10_240a,DTAG,bw10_240aprh.mat,bw10_240alunges.mat,krill,33.6817,-118.319
bw10_240b,DTAG,bw10_240bprh.mat,bw10_240blunges.mat,krill,33.6848,-118.3222
bw10_241a,DTAG,bw10_241aprh.mat,bw10_241alunges.mat,krill,33.7067,-118.3628
bw10_243a,DTAG,bw10_243aprh.mat,bw10_243alunges.mat,krill,33.786,-118.5078
bw10_243b,DTAG,bw10_243bprh.mat,bw10_243blunges.mat,krill,33.7867,-118.5017
bw10_244b,DTAG,bw10_244bprh.mat,bw10_244blunges.mat,krill,33.796,-118.5388
bw10_244c,DTAG,bw10_244cprh.mat,bw10_244clunges.mat,krill,33.8292,-118.5405
bw10_245a,DTAG,bw10_245aprh.mat,bw10_245alunges.mat,krill,33.8297,-118.5757
bw10_246a,DTAG,bw10_246aprh.mat,bw10_246alunges.mat,krill,33.841,-118.5962
bw10_246b,DTAG,bw10_246bprh.mat,bw10_246blunges.mat,krill,33.8368,-118.5983
bw10_247a,DTAG,bw10_247aprh.mat,bw10_247alunges.mat,krill,33.7527,-118.4753
bw10_265a,DTAG,bw10_265aprh.mat,bw10_265alunges.mat,krill,33.7993,-118.5182
bw10_265b,DTAG,bw10_265bprh.mat,bw10_265blunges.mat,krill,33.7885,-118.5175
bw10_266a,DTAG,bw10_266aprh.mat,bw10_266alunges.mat,krill,33.7157,-118.397
bw11_210a,DTAG,bw11_210aprh.mat,bw11_210alunges.mat,krill,34.5336,-120.7571
bw11_210b,DTAG,bw11_210bprh.mat,bw11_210blunges.mat,krill,34.54,-114.7435
bw11_211a,DTAG,bw11_211aprh.mat,bw11_211alunges.mat,krill,34.5727,-120.7548
bw11_213b,DTAG,bw11_213bprh.mat,bw11_213blunges.mat,krill,33.8049,-118.5098
bw11_214a,DTAG,bw11_214aprh.mat,bw11_214alunges.mat,krill,33.858,-118.4736
bw11_214b,DTAG,bw11_214bprh.mat,bw11_214blunges.mat,krill,33.8569,-118.4995
bw11_215a,DTAG,bw11_215aprh.mat,bw11_215alunges.mat,krill,33.5822,-117.9328
bw11_215b,DTAG,bw11_215bprh.mat,bw11_215blunges.mat,krill,33.5815,-117.943
bw11_218b,DTAG,bw11_218bprh.mat,bw11_218blunges.mat,krill,33.1744,-117.4572
bw11_219b,DTAG,bw11_219bprh.mat,bw11_219blunges.mat,krill,32.76141,-117.5703
bw11_220a,DTAG,bw11_220aprh.mat,bw11_220alunges.mat,krill,32.9018,-117.5779
bw11_220b,DTAG,bw11_220bprh.mat,bw11_220blunges.mat,krill,32.8886,-117.5449
bw11_221a,DTAG,bw11_221aprh.mat,bw11_221alunges.mat,krill,33.4694,-117.8846
bw11_264a,DTAG,bw11_264aprh.mat,bw11_264alunges.mat,krill,33.6215,-118.3284
bw12_217b,DTAG,bw12_217bprh.mat,bw12_217blunges.mat,krill,33.746,-118.4357
bw13_191a,DTAG,bw13_191aprh.mat,bw13_191alunges.mat,krill,33.142,-117.698
bw13_193a,DTAG,bw13_193aprh.mat,bw13_193alunges.mat,krill,33.1128,-118.8713
bw13_207a,DTAG,bw13_207aprh.mat,bw13_207alunges.mat,krill,33.667,-118.293
bw13_211a,DTAG,bw13_211aprh.mat,bw13_211alunges.mat,krill,33.0795,-118.9182
bw13_214b,DTAG,bw13_214bprh.mat,bw13_214blunges.mat,krill,33.6181,-118.2843
bw13_214c,DTAG,bw13_214cprh.mat,bw13_214clunges.mat,krill,33.6181,-118.2843
bw13_217a,DTAG,bw13_217aprh.mat,bw13_217alunges.mat,krill,33.58348,-118.03933
bw13_259a,DTAG,bw13_259aprh.mat,bw13_259alunges.mat,krill,33.7878,-118.4743
bw14_211b,DTAG,bw14_211bprh.mat,bw14_211blunges.mat,krill,33.783,-118.5064
bw14_212a,DTAG,bw14_212aprh.mat,bw14_212alunges.mat,krill,33.9172,-118.6648
bw14_213a,DTAG,bw14_213aprh.mat,bw14_213alunges.mat,krill,33.94834,-118.82969
bw14_217a,DTAG,bw14_217aprh.mat,bw14_217alunges.mat,krill,33.4658,-118.4208
bw14_218a,DTAG,bw14_218aprh.mat,bw14_218alunges.mat,krill,33.62711,-118.35546
bw14_251a,DTAG,bw14_251aprh.mat,bw14_251alunges.mat,krill,33.71635,-118.47699
bw14_261a,DTAG,bw14_261aprh.mat,bw14_261alunges.mat,krill,33.56215,-118.0441
bw14_262a,DTAG,bw14_262aprh.mat,bw14_262alunges.mat,krill,33.559,-118.0399
bw14_262b,DTAG,bw14_262bprh.mat,bw14_262blunges.mat,krill,33.559,-118.0399
bw16_264b,DTAG,bw16_264bprh.mat,bw16_264blunges.mat,krill,33.025,-118.045
Bm160523-A20,medterm,Bm160523-A20 10Hzprh.mat,Bm160523-A20_lunges.mat,krill,37.66,-122.83
Bm160716-A20,medterm,Bm160716-A20 10Hzprh.mat,Bm160716-A20_lunges.mat,krill,37.66,-122.83
Bm160717-A21,medterm,Bm160717-A21 10Hzprh.mat,Bm160717-A21_lunges.mat,krill,34.14,-119.92
Bm160918-A08,medterm,Bm160918-A08 10Hzprh.mat,Bm160918-A08_lunges.mat,krill,33.95,-120.47
Bm160918-A21,medterm,Bm160918-A21 10Hzprh.mat,Bm160918-A21_lunges.mat,krill,33.05,-120.15
Bm170622-TDR12,medterm,Bm170622-TDR12 8Hzprh.mat,Bm170622-TDR12_lunges.mat,krill,34.12,-119.75
Bm170622-TDR13,medterm,Bm170622-TDR13 8Hzprh.mat,Bm170622-TDR13_lunges.mat,krill,34.11,-119.76
Bm170706-TDR11,medterm,Bm170706-TDR11 8Hzprh.mat,Bm170706-TDR11_lunges.mat,krill,32.87,-117.38
Bm170925-TDR12,medterm,Bm170925-TDR12 8Hzprh.mat,Bm170925-TDR12_lunges.mat,krill,34.13,-120.02
Bm170926-TDR14,medterm,Bm170926-TDR14 8Hzprh.mat,Bm170926-TDR14_lunges.mat,krill,34.11,-119.7
Bm181021-TDR11,medterm,Bm181021-TDR11 8Hzprh.mat,Bm181021-TDR11_lunges.mat,krill,37.44,-122.9
Bm181021-TDR14,medterm,Bm181021-TDR14 8Hzprh.mat,Bm181021-TDR14_lunges.mat,krill,37.47,-122.95
Bm190709-TDR14,medterm,Bm190709-TDR14 8Hzprh.mat,Bm190709-TDR14_lunges.mat,krill,37.42,-122.87
